Files already downloaded and verified
Files already downloaded and verified
num params: 482856
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch 134, time= 15.0s | Train: skip eval | Valid: time=  0.2s loss=0.912, TAw acc=  0.0% |
| Epoch 135, time= 13.1s | Train: skip eval | Valid: time=  0.1s loss=0.969, TAw acc=  0.0% |
| Epoch 136, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=1.149, TAw acc=  0.0% |
| Epoch 137, time= 13.7s | Train: skip eval | Valid: time=  0.1s loss=0.882, TAw acc=  0.0% |
| Epoch 138, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=0.908, TAw acc=  0.0% |
| Epoch 139, time= 13.3s | Train: skip eval | Valid: time=  0.2s loss=0.958, TAw acc=  0.0% |
| Epoch 140, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=0.922, TAw acc=  0.0% |
| Epoch 141, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=0.968, TAw acc=  0.0% |
| Epoch 142, time= 12.6s | Train: skip eval | Valid: time=  0.2s loss=0.958, TAw acc=  0.0% |
| Epoch 143, time= 12.9s | Train: skip eval | Valid: time=  0.2s loss=1.017, TAw acc=  0.0% |
| Epoch 144, time= 14.6s | Train: skip eval | Valid: time=  0.1s loss=0.995, TAw acc=  0.0% |
self.logits length and one shape:  2000 (100,)
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=3.520 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 28.7%, forg= 46.9% <<<
>>> Test on task  1 : loss=0.975 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 70.2%, forg=  0.0% <<<
Save at ./results/20241018_der/cifar100/cifar100_icarl_der_base_csl_2
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 12.0s | Train: skip eval | Valid: time=  0.2s loss=2.326, TAw acc=  0.0% | *
| Epoch   2, time= 12.7s | Train: skip eval | Valid: time=  0.1s loss=1.778, TAw acc=  0.0% | *
| Epoch   3, time= 11.1s | Train: skip eval | Valid: time=  0.2s loss=1.434, TAw acc=  0.0% | *
| Epoch   4, time= 12.0s | Train: skip eval | Valid: time=  0.2s loss=1.334, TAw acc=  0.0% | *
| Epoch   5, time= 11.0s | Train: skip eval | Valid: time=  0.1s loss=1.568, TAw acc=  0.0% |
| Epoch   6, time= 11.9s | Train: skip eval | Valid: time=  0.2s loss=1.466, TAw acc=  0.0% |
| Epoch   7, time= 10.6s | Train: skip eval | Valid: time=  0.1s loss=1.723, TAw acc=  0.0% |
| Epoch   8, time= 10.8s | Train: skip eval | Valid: time=  0.2s loss=1.324, TAw acc=  0.0% | *
| Epoch   9, time= 11.6s | Train: skip eval | Valid: time=  0.1s loss=1.282, TAw acc=  0.0% | *
| Epoch  10, time= 12.6s | Train: skip eval | Valid: time=  0.2s loss=0.972, TAw acc=  0.0% | *
| Epoch  11, time= 12.4s | Train: skip eval | Valid: time=  0.1s loss=1.451, TAw acc=  0.0% |
| Epoch  12, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.474, TAw acc=  0.0% |
| Epoch  13, time= 11.7s | Train: skip eval | Valid: time=  0.2s loss=1.432, TAw acc=  0.0% |
| Epoch  14, time= 13.9s | Train: skip eval | Valid: time=  0.2s loss=1.244, TAw acc=  0.0% |
| Epoch  15, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=1.461, TAw acc=  0.0% |
| Epoch  16, time= 12.8s | Train: skip eval | Valid: time=  0.2s loss=1.615, TAw acc=  0.0% |
| Epoch  17, time= 11.3s | Train: skip eval | Valid: time=  0.1s loss=1.534, TAw acc=  0.0% |
| Epoch  18, time= 12.0s | Train: skip eval | Valid: time=  0.2s loss=1.715, TAw acc=  0.0% |
| Epoch  19, time= 12.6s | Train: skip eval | Valid: time=  0.1s loss=1.219, TAw acc=  0.0% |
| Epoch  20, time= 11.7s | Train: skip eval | Valid: time=  0.2s loss=1.289, TAw acc=  0.0% |
| Epoch  21, time= 11.8s | Train: skip eval | Valid: time=  0.1s loss=1.164, TAw acc=  0.0% |
| Epoch  22, time= 14.2s | Train: skip eval | Valid: time=  0.2s loss=1.249, TAw acc=  0.0% |
| Epoch  23, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=1.569, TAw acc=  0.0% |
| Epoch  24, time= 13.8s | Train: skip eval | Valid: time=  0.2s loss=1.186, TAw acc=  0.0% |
